,Dystopia Residual,Family,Freedom,GDP,Generosity,Happiness Rank,Happiness Score,Health,Trust,name
33,2.484863731643676,1.0595966913146981,0.23980626956367498,0.06234246976089478,0.23167516666316978,126.0,4.346400041961671,0.2076934049720764,0.0604482712984085,Congo (Kinshasa)
34,3.0543198404235845,1.3151607302474981,0.5912283299942016,1.0356552565231318,0.1964226458072662,12.6,7.126199999237061,0.8322478530845642,0.10108131789922718,Costa Rica
35,2.1124504851837163,0.959862601486206,0.28593445852279664,1.152317246681214,0.1451565952358246,74.0,5.458600044250488,0.769115704257965,0.03368462200903892,Croatia
36,1.8419058397827144,1.0291026545333861,0.37718030787277224,1.2749276153945919,0.24973886021423336,62.2,5.732799962615966,0.913614940235138,0.04619559528040886,Cyprus
37,2.644558371673584,1.32484904334259,0.4737532347335816,1.268562470413208,0.08085135177850725,24.4,6.654600041198731,0.8274068006210328,0.03465058541989326,Czech Republic
38,2.4620274703369134,1.4476883185043339,0.6259593444900512,1.396728602554322,0.3188760977458954,2.2,7.545999967193604,0.8652491049156188,0.42937401363372796,Denmark
39,2.05125,0.59207,0.46074,0.44025,0.18093,126.0,4.369,0.36291,0.28105,Djibouti
40,1.4417550320739743,1.282279341217042,0.545379966747284,0.9999227673034661,0.169933569946289,86.6,5.199400003814698,0.6425627490882874,0.1174010506386756,Dominican Republic
41,2.411286516586304,1.157387762741088,0.47952763971138,0.9277800796661382,0.12125249300479882,48.2,5.991999979400633,0.7533032444725035,0.1416809294977188,Ecuador
42,1.5802762147369378,0.8613202784309388,0.23929203092575083,0.9246903614997863,0.10732028855705258,123.6,4.37520002670288,0.5710934517440795,0.09111027309560779,Egypt
43,2.93698677746582,1.097989018310546,0.41992850593376163,0.8296048991661072,0.08638959708261491,41.6,6.124199956512452,0.6594777105560301,0.09397419197845457,El Salvador
44,1.5434357318725578,1.363242219932556,0.47822428607749934,1.2378518680343622,0.09178416224098204,65.8,5.637800012207032,0.7521516632728577,0.1710557844457626,Estonia
45,2.1471287464904782,0.766209840751648,0.401274548488617,0.29335876909446723,0.2560241480293274,123.4,4.4232000076293945,0.41254794150924673,0.1467271427736282,Ethiopia
46,2.63493830065918,1.4344293450164798,0.6215361713371277,1.356960385032654,0.217782554517746,3.6,7.537799972534181,0.8738355339088442,0.39847430858802796,Finland
47,2.1481229484863285,1.3182473703308102,0.4883904231033326,1.3441166923828118,0.11673646136188501,27.8,6.515199982452392,0.9162411703567503,0.18320848565864561,France
