,name,Happiness Score,Freedom,Trust,GDP,Adult Mortality,Infant Deaths,Under 5Y/O Deaths,Hepatitis B,HIV/AIDS,Population,Life Expectancy,region,subregion,Literacy Rate(%),gini,area,Inflation(%),Change forest %,Forest area %,FemaleSuicide %,MaleSuicide %,Homicide %,Prison population,Gender Inequality,Suicide %,Density,Adult Mortality per Population
22,Cambodia,4.205400044250488,0.6378711646995544,0.06969919019031524,0.5482370192375183,196.375,16.75,20.5,79.6,1.0250000000000001,13811614.3125,64.34375,Asia,South-Eastern Asia,73.6,37.9,181035.0,3.2,-23.986402967691657,55.739859506,6.5,12.6,6.5,106.0,0.4774960765343914,19.1,76.29250869997514,0.014218106265990477
23,Cameroon,4.695800034332276,0.43716774972915645,0.05008532628321649,0.5191550730171204,294.875,54.9375,86.1875,76.81818181818181,6.212500000000001,19148813.375,54.01875,Africa,Middle Africa,75.9,38.9,475442.0,2.6,-19.90458956936461,41.200736180999996,3.4,10.9,7.6,119.0,0.5873086640170306,14.3,40.27581361133429,0.015399126526815398
24,Canada,7.350599996948242,0.6109541824188232,0.3058463032455444,1.388128883255004,64.625,2.0,2.0,28.846153846153847,0.10000000000000002,33157068.4375,81.6875,Americas,Northern America,82.42480620155038,32.6,9984670.0,4.900840336134454,1.1728462645521631e-08,34.104982564000004,4.8,14.9,1.6,118.0,0.12922734232879285,19.7,3.320797626511442,0.0019490565072668
25,Central African Republic,3.1342500195503225,0.3224080113863945,0.0531137690281868,0.032125,333.0625,16.5,24.5,42.57142857142857,8.981250000000001,4163636.6875,48.51250000000001,Africa,Middle Africa,56.6,56.3,622984.0,7.0,-2.835840191419836,36.188962728,5.3,14.1,11.8,19.0,0.6548756789400607,19.4,6.683376599559539,0.079993170633719
26,Chad,4.003400021743774,0.17768440536594401,0.058758376453638086,0.3820165974750518,227.75,44.875,78.125,29.875,4.3375,11085623.125,50.3875,Africa,Middle Africa,35.4,39.8,1284000.0,4.5,-13.298245611675995,9.02684244,2.3,7.4,7.3,41.0,0.7064549289053773,9.7,8.633662869937694,0.020544627706708184
27,Chile,6.5893999900817875,0.396821055738449,0.08849759642124175,1.1733269219589242,63.625,2.0,2.1875,77.2,0.10000000000000002,16629102.5,79.44999999999999,Americas,South America,97.5,52.1,756102.0,4.900840336134454,6.8348293273005725,21.930730621,5.8,19.0,3.1,266.0,0.33759136930305744,24.8,21.993199991535533,0.003826123508469564
28,China,5.218999952697754,0.5095755416088104,0.056210854922652244,1.003417158111572,73.75,294.875,350.0,80.4375,0.10000000000000002,1319581875.0,74.2625,Asia,Eastern Asia,82.42480620155038,47.0,9640011.0,4.900840336134454,35.158044604833314,22.622763805,8.7,7.1,1.0,121.0,0.19068551415955734,15.799999999999999,136.88593042061882,5.588891557032033e-05
29,Colombia,6.339999974822997,0.49209948301506046,0.04497174837040903,0.9929104649887082,124.25,13.875,16.375,79.0,0.10000000000000002,43803879.625,73.28750000000001,Americas,South America,94.2,55.9,1141748.0,4.900840336134454,-3.554119549888013,54.346101848,1.9,9.1,30.8,245.0,0.4285348375990313,11.0,38.365628514348174,0.002836506744692252
30,Comoros,3.9616666666666673,0.17509666666666668,0.15379,0.26271666666666665,240.9375,1.6875,2.0,76.46153846153847,0.28124999999999994,653547.9375,61.581250000000004,Africa,Eastern Africa,75.5,64.3,1862.0,4.900840336134454,-81.66666666614972,1.1821601290000001,10.3,24.0,10.0,16.0,0.4284973232047009,34.3,350.9924476369495,0.3686607916194365
31,Costa Rica,7.126199999237061,0.5912283299942016,0.10108131789922718,1.0356552565231318,69.375,1.0,1.0,79.3125,0.10000000000000002,4424359.8125,78.59374999999999,Americas,Central America,96.3,50.7,51100.0,5.6,3.377535109733243,51.911476693999994,2.2,11.2,8.5,314.0,0.3492385806836717,13.399999999999999,86.58238380626223,0.015680234641856448
32,Croatia,5.458600044250488,0.28593445852279664,0.03368462200903892,1.152317246681214,89.0,0.0,0.0,96.22222222222223,0.10000000000000002,4297863.3125,76.11875,Europe,Southern Europe,98.9,33.7,56594.0,2.2,4.058292614024905,34.431736955,4.5,19.8,1.2,108.0,0.1488897429987902,24.3,75.94203117821677,0.020707964290337118
33,Cyprus,5.732799962615966,0.37718030787277224,0.04619559528040886,1.2749276153945919,54.125,0.0,0.0,92.625,0.10000000000000002,1064416.0,79.675,Europe,Southern Europe,98.7,39.808800000000005,9251.0,0.2,7.579143355918027,18.756493505999998,1.5,7.7,2.0,106.0,0.12387916377589535,9.2,115.05956112852665,0.050849479902594474
34,Denmark,7.545999967193604,0.6259593444900512,0.42937401363372796,1.396728602554322,66.0625,0.0,0.0,78.68566980093698,0.10000000000000002,5491000.125,79.25625000000001,Europe,Northern Europe,99.0,24.0,43094.0,0.8,23.029973966129113,12.915390054000001,4.1,13.6,0.8,73.0,0.048432247057987536,17.7,127.41913317399174,0.012031050536535911
